hand_number,player_id,pot_size,player_chips,player_state
1,0,30,5010,IN
1,1,30,5000,OUT
1,2,30,5000,OUT
1,3,30,5000,OUT
1,4,30,4990,OUT
2,0,130,5000,OUT
2,1,130,4980,OUT
2,2,130,5000,OUT
2,3,130,5030,IN
2,4,130,4990,OUT
3,0,110,5000,OUT
3,1,110,4970,OUT
3,2,110,4980,OUT
3,3,110,5060,IN
3,4,110,4990,OUT
4,0,130,5000,OUT
4,1,130,5000,IN
4,2,130,4970,OUT
4,3,130,5040,OUT
4,4,130,4990,OUT
5,0,30,5000,OUT
5,1,30,5000,OUT
5,2,30,4970,OUT
5,3,30,5030,OUT
5,4,30,5000,IN
6,0,110,4980,OUT
6,1,110,5030,IN
6,2,110,4970,OUT
6,3,110,5030,OUT
6,4,110,4990,OUT
7,0,440,5160,IN
7,1,440,4850,OUT
7,2,440,4970,OUT
7,3,440,5030,OUT
7,4,440,4990,OUT
8,0,110,5190,IN
8,1,110,4840,OUT
8,2,110,4950,OUT
8,3,110,5030,OUT
8,4,110,4990,OUT
9,0,470,5400,IN
9,1,470,4660,OUT
9,2,470,4940,OUT
9,3,470,5010,OUT
9,4,470,4990,OUT
10,0,30,5400,OUT
10,1,30,4660,OUT
10,2,30,4940,OUT
10,3,30,5000,OUT
10,4,30,5000,IN
11,0,250,5380,OUT
11,1,250,4660,OUT
11,2,250,4860,OUT
11,3,250,5110,IN
11,4,250,4990,OUT
12,0,100,5400,IN
12,1,100,4640,OUT
12,2,100,4860,OUT
12,3,100,5110,OUT
12,4,100,4990,OUT
13,0,110,5400,OUT
13,1,110,4630,OUT
13,2,110,4840,OUT
13,3,110,5110,OUT
13,4,110,5020,IN
14,0,110,5400,OUT
14,1,110,4660,IN
14,2,110,4830,OUT
14,3,110,5090,OUT
14,4,110,5020,OUT
15,0,230,5400,OUT
15,1,230,4580,OUT
15,2,230,4830,OUT
15,3,230,5080,OUT
15,4,230,5110,IN
16,0,30,5410,IN
16,1,30,4580,OUT
16,2,30,4830,OUT
16,3,30,5080,OUT
16,4,30,5100,OUT
17,0,110,5400,OUT
17,1,110,4560,OUT
17,2,110,4860,IN
17,3,110,5080,OUT
17,4,110,5100,OUT
18,0,30,5400,OUT
18,1,30,4550,OUT
18,2,30,4870,IN
18,3,30,5080,OUT
18,4,30,5100,OUT
19,0,110,5400,OUT
19,1,110,4580,IN
19,2,110,4860,OUT
19,3,110,5060,OUT
19,4,110,5100,OUT
20,0,110,5400,OUT
20,1,110,4580,OUT
20,2,110,4890,IN
20,3,110,5050,OUT
20,4,110,5080,OUT
21,0,30,5410,IN
21,1,30,4580,OUT
21,2,30,4890,OUT
21,3,30,5050,OUT
21,4,30,5070,OUT
22,0,230,5400,OUT
22,1,230,4670,IN
22,2,230,4890,OUT
22,3,230,4970,OUT
22,4,230,5070,OUT
23,0,30,5400,OUT
23,1,30,4660,OUT
23,2,30,4900,IN
23,3,30,4970,OUT
23,4,30,5070,OUT
24,0,720,5400,OUT
24,1,720,4660,OUT
24,2,720,4760,OUT
24,3,720,5370,IN
24,4,720,4810,OUT
25,0,880,5400,OUT
25,1,880,4660,OUT
25,2,880,4680,OUT
25,3,880,4970,OUT
25,4,880,5290,IN
26,0,30,5410,IN
26,1,30,4660,OUT
26,2,30,4680,OUT
26,3,30,4970,OUT
26,4,30,5280,OUT
27,0,100,5430,IN
27,1,100,4640,OUT
27,2,100,4680,OUT
27,3,100,4970,OUT
27,4,100,5280,OUT
28,0,460,5430,OUT
28,1,460,4460,OUT
28,2,460,4660,OUT
28,3,460,5170,IN
28,4,460,5280,OUT
