hand_number,player_id,pot_size,player_chips,player_state
1,0,30,5000,OUT
1,1,30,4990,OUT
1,2,30,5010,IN
1,3,30,5000,OUT
1,4,30,5000,OUT
2,0,890,4920,OUT
2,1,890,5480,IN
2,2,890,5000,OUT
2,3,890,4600,OUT
2,4,890,5000,OUT
3,0,30,4920,OUT
3,1,30,5480,OUT
3,2,30,5000,OUT
3,3,30,4590,OUT
3,4,30,5010,IN
4,0,240,5000,IN
4,1,240,5480,OUT
4,2,240,5000,OUT
4,3,240,4590,OUT
4,4,240,4930,OUT
5,0,230,4990,OUT
5,1,230,5570,IN
5,2,230,4920,OUT
5,3,230,4590,OUT
5,4,230,4930,OUT
6,0,130,4990,OUT
6,1,130,5560,OUT
6,2,130,4900,OUT
6,3,130,4590,OUT
6,4,130,4960,IN
7,0,100,4990,OUT
7,1,100,5560,OUT
7,2,100,4920,IN
7,3,100,4570,OUT
7,4,100,4960,OUT
8,0,30,4990,OUT
8,1,30,5560,OUT
8,2,30,4920,OUT
8,3,30,4560,OUT
8,4,30,4970,IN
9,0,30,5000,IN
9,1,30,5560,OUT
9,2,30,4920,OUT
9,3,30,4560,OUT
9,4,30,4960,OUT
10,0,30,4990,OUT
10,1,30,5570,IN
10,2,30,4920,OUT
10,3,30,4560,OUT
10,4,30,4960,OUT
11,0,30,4990,OUT
11,1,30,5560,OUT
11,2,30,4930,IN
11,3,30,4560,OUT
11,4,30,4960,OUT
12,0,110,5020,IN
12,1,110,5560,OUT
12,2,110,4920,OUT
12,3,110,4540,OUT
12,4,110,4960,OUT
13,0,30,5020,OUT
13,1,30,5560,OUT
13,2,30,4920,OUT
13,3,30,4530,OUT
13,4,30,4970,IN
14,0,30,5030,IN
14,1,30,5560,OUT
14,2,30,4920,OUT
14,3,30,4530,OUT
14,4,30,4960,OUT
15,0,110,5020,OUT
15,1,110,5540,OUT
15,2,110,4920,OUT
15,3,110,4530,OUT
15,4,110,4990,IN
16,0,30,5020,OUT
16,1,30,5530,OUT
16,2,30,4930,IN
16,3,30,4530,OUT
16,4,30,4990,OUT
17,0,30,5020,OUT
17,1,30,5530,OUT
17,2,30,4920,OUT
17,3,30,4540,IN
17,4,30,4990,OUT
18,0,350,5020,OUT
18,1,350,5530,OUT
18,2,350,5070,IN
18,3,350,4530,OUT
18,4,350,4850,OUT
19,0,240,5000,OUT
19,1,240,5450,OUT
19,2,240,5070,OUT
19,3,240,4530,OUT
19,4,240,4950,IN
20,0,110,4990,OUT
20,1,110,5430,OUT
20,2,110,5100,IN
20,3,110,4530,OUT
20,4,110,4950,OUT
21,0,30,4990,OUT
21,1,30,5420,OUT
21,2,30,5110,IN
21,3,30,4530,OUT
21,4,30,4950,OUT
22,0,250,4990,OUT
22,1,250,5340,OUT
22,2,250,5100,OUT
22,3,250,4620,IN
22,4,250,4950,OUT
23,0,30,4990,OUT
23,1,30,5340,OUT
23,2,30,5100,OUT
23,3,30,4610,OUT
23,4,30,4960,IN
24,0,240,4970,OUT
24,1,240,5340,OUT
24,2,240,5020,OUT
24,3,240,4610,OUT
24,4,240,5060,IN
25,0,230,4960,OUT
25,1,230,5430,IN
25,2,230,4940,OUT
25,3,230,4610,OUT
25,4,230,5060,OUT
26,0,130,4960,OUT
26,1,130,5420,OUT
26,2,130,4920,OUT
26,3,130,4640,IN
26,4,130,5060,OUT
27,0,110,4990,IN
27,1,110,5420,OUT
27,2,110,4910,OUT
27,3,110,4620,OUT
27,4,110,5060,OUT
28,0,250,4910,OUT
